school_name,latitude,longitude
I.S. 528 - MANHATTAN,40.85051,-73.934485
I.S. 528 - MANHATTAN,40.85051,-73.934485
I.S. 529 - BRONX,40.884953,-73.840524
I.S. 529 - BRONX,40.884953,-73.840524
I.S. 529 - BRONX,40.884953,-73.840524
I.S. 53 - QUEENS,40.603622,-73.749097
I.S. 53 - QUEENS,40.603622,-73.749097
I.S. 54 - MANHATTAN,40.800119,-73.962837
I.S. 556 - BRONX,40.862109,-73.864577
I.S. 59 - QUEENS,40.68173,-73.753429
I.S. 59 - QUEENS,40.68173,-73.753429
I.S. 5 - QUEENS,40.737918,-73.887407
I.S. 62 - BROOKLYN,40.638686,-73.971651
I.S. 62 - BROOKLYN,40.638686,-73.971651
I.S. @ 6315 14 AVENUE - BROOKLYN,40.625671,-73.998253
I.S. @ 650 86 STREET - BROOKLYN,40.618851,-74.021875
I.S. 653 - BROOKLYN,40.681392,-73.973655
I.S. 68 - BROOKLYN,40.635553,-73.91079
I.S. 71 - BROOKLYN,40.703624,-73.953146
I.S. 72 - STATEN ISLAND,40.593005,-74.158988
I.S. 72 - STATEN ISLAND,40.593005,-74.158988
I.S. 73 - QUEENS,40.729215,-73.893624
I.S. 73 - QUEENS,40.729215,-73.893624
I.S. 73 - QUEENS,40.729215,-73.893624
I.S. 74 - QUEENS,40.745201,-73.767446
I.S. 74 - QUEENS,40.745201,-73.767446
I.S. 75 - STATEN ISLAND,40.54438,-74.197897
I.S. 75 - STATEN ISLAND,40.54438,-74.197897
I.S. 77 - QUEENS,40.699516,-73.90214
I.S. 78 - BROOKLYN,40.621224,-73.91287
I.S. 78 - BROOKLYN,40.621224,-73.91287
I.S. 839 - MANHATTAN,40.724435,-73.981521
I.S. 88 - BROOKLYN,40.660024,-73.987637
I.S. 93 - QUEENS,40.706041,-73.902584
I.S. 96 - BROOKLYN,40.60754,-73.984661
I.S. 98 - BRONX,40.8359,-73.890458
I.S. 98 - BROOKLYN,40.583125,-73.954037
IT TAKES A VILLAGE ACADEMY - K,40.648657,-73.922171
IT TAKES A VILLAGE ACADEMY - K,40.648657,-73.922171
IT TAKES A VILLAGE ACADEMY - K,40.648657,-73.922171
IT TAKES A VILLAGE ACADEMY - K,40.648657,-73.922171
